proteam6,proTeam
proteam7,proTeam
proteam8,proTeam
proteam9,proTeam
proteam10,proTeam
proteam11,proTeam
proteam12,proTeam
proteam13,proTeam
proteam14,proTeam
proteam15,proTeam
manageteam1,managedTeam
manageteam2,managedTeam
manageteam3,managedTeam
manageteam4,managedTeam
manageteam5,managedTeam
manageteam6,managedTeam
manageteam7,managedTeam
manageteam8,managedTeam
manageteam9,managedTeam
manageteam10,managedTeam
manageteam11,managedTeam
manageteam12,managedTeam
manageteam13,managedTeam
manageteam14,managedTeam
manageteam15,managedTeam
CFLDraftedTeam,CFLDraftedTeam
NFLDraftedTeam,NFLDraftedTeam
IRL_Car_Team,IRLCarTeam
nll_draft_team,NLLDraftTeam
nll_team,NLLTeam
former_nll_teams,formerNLLTeam
ncaa_team,NCAATeam
currentteam,currentTeam
current team,currentTeam
Current team,currentTeam
rl_currentteam,currentTeam
ru_currentteam,currentTeam
prospect_team,prospectTeam
club,club
skating club,skatingClub
former skating club,formerSkatingClub
rl_youthclubs1,youthClub
rl_youthclubs2,youthClub
rl_youthclubs3,youthClub
rl_youthclubs4,youthClub
rl_youthclubs5,youthClub
rl_amateurclubs1,amateurClub
rl_amateurclubs2,amateurClub
rl_amateurclubs3,amateurClub
rl_amateurclubs4,amateurClub
rl_amateurclubs5,amateurClub
rl_amateurclubs6,amateurClub
rl_amateurclubs7,amateurClub
rl_amateurclubs8,amateurClub
rl_amateurclubs9,amateurClub
rl_amateurclubs10,amateurClub
rl_proclubs1,proClubs
rl_proclubs2,proClubs
rl_proclubs3,proClubs
rl_proclubs4,proClubs
rl_proclubs5,proClubs
rl_proclubs6,proClubs
rl_proclubs7,proClubs
rl_proclubs8,proClubs
rl_proclubs9,proClubs
rl_proclubs10,proClubs
rl_proclubs11,proClubs
rl_proclubs12,proClubs
rl_proclubs13,proClubs
rl_proclubs14,proClubs
rl_proclubs15,proClubs
rl_proclubs16,proClubs
rl_proclubs17,proClubs
rl_proclubs18,proClubs
rl_proclubs19,proClubs
rl_proclubs20,proClubs
youthclubs1,youthClub
youthclubs2,youthClub
youthclubs3,youthClub
youthclubs4,youthClub
youthclubs5,youthClub
clubs1,club
clubs2,club
clubs3,club
clubs4,club
clubs5,club
clubs6,club
clubs7,club
clubs8,club
clubs9,club
clubs10,club
clubs11,club
clubs12,club
clubs13,club
clubs14,club
clubs15,club
clubs16,club
clubs17,club
clubs18,club
clubs19,club
clubs20,club
club1,club
club2,club
club3,club
club4,club
club5,club
club6,club
club7,club
club8,club
club9,club
club10,club
club11,club
club12,club
club13,club
club14,club
club15,club
club16,club
club17,club
club18,club
club19,club
club20,club
clubteam1,club
clubteam2,club
clubteam3,club
clubteam4,club
clubteam5,club
clubteam6,club
clubteam7,club
clubteam8,club
clubteam9,club
clubteam10,club
managerclubs1,managerOfClub
managerclubs2,managerOfClub
managerclubs3,managerOfClub
managerclubs4,managerOfClub
managerclubs5,managerOfClub
managerclubs6,managerOfClub
managerclubs7,managerOfClub
managerclubs8,managerOfClub
managerclubs9,managerOfClub
managerclubs10,managerOfClub
managerclubs11,managerOfClub
managerclubs12,managerOfClub
managerclubs13,managerOfClub
managerclubs14,managerOfClub
managerclubs15,managerOfClub
managerclubs16,managerOfClub
managerclubs17,managerOfClub
managerclubs18,managerOfClub
managerclubs19,managerOfClub
managerclubs20,managerOfClub
coachclub,coachedClub
coachclub1,coachedClub
coachclub2,coachedClub
current_club,currentClub
currentclub,currentClub
league,league
currenttraininglocations,currentTrainingLocation
training,trainingLocation
formertraininglocations,formerTrainingLocation
gym,gym
choreographer,choreographer
formerchoreographer,formerChoreographer
promoter,promoter
manager,manager
monarch,inOfficeMonarch
president,inOfficePresident
president1,inOfficePresident
president2,inOfficePresident
president3,inOfficePresident
president4,inOfficePresident
president5,inOfficePresident
president6,inOfficePresident
president7,inOfficePresident
president8,inOfficePresident
president9,inOfficePresident
president10,inOfficePresident
president11,inOfficePresident
president12,inOfficePresident
president13,inOfficePresident
president14,inOfficePresident
president15,inOfficePresident
vicepresident,inOfficeVicePresident
vicepresident1,inOfficeVicePresident
vicepresident2,inOfficeVicePresident
vicepresident3,inOfficeVicePresident
vicepresident4,inOfficeVicePresident
vicepresident5,inOfficeVicePresident
vicepresident6,inOfficeVicePresident
vicepresident7,inOfficeVicePresident
vicepresident8,inOfficeVicePresident
vicepresident9,inOfficeVicePresident
vicepresident10,inOfficeVicePresident
vicepresident11,inOfficeVicePresident
vicepresident12,inOfficeVicePresident
vicepresident13,inOfficeVicePresident
vicepresident14,inOfficeVicePresident
vicepresident15,inOfficeVicePresident
governor_general,inOfficeGovernorGeneral
governor_general1,inOfficeGovernorGeneral
governor_general2,inOfficeGovernorGeneral
governor_general3,inOfficeGovernorGeneral
governor_general4,inOfficeGovernorGeneral
governor_general5,inOfficeGovernorGeneral
governor_general6,inOfficeGovernorGeneral
governor_general7,inOfficeGovernorGeneral
governor_general8,inOfficeGovernorGeneral
governor_general9,inOfficeGovernorGeneral
governor_general10,inOfficeGovernorGeneral
governor_general11,inOfficeGovernorGeneral
governor_general12,inOfficeGovernorGeneral
governor_general13,inOfficeGovernorGeneral
governor_general14,inOfficeGovernorGeneral
governor_general15,inOfficeGovernorGeneral
primeminister,inOfficePrimeMinister
primeminister1,inOfficePrimeMinister
primeminister2,inOfficePrimeMinister
primeminister3,inOfficePrimeMinister
primeminister4,inOfficePrimeMinister
primeminister5,inOfficePrimeMinister
primeminister6,inOfficePrimeMinister
primeminister7,inOfficePrimeMinister
primeminister8,inOfficePrimeMinister
primeminister9,inOfficePrimeMinister
primeminister10,inOfficePrimeMinister
primeminister11,inOfficePrimeMinister
primeminister12,inOfficePrimeMinister
primeminister13,inOfficePrimeMinister
primeminister14,inOfficePrimeMinister
primeminister15,inOfficePrimeMinister
viceprimeminister,inOfficeVicePrimeMinister
viceprimeminister1,inOfficeVicePrimeMinister
viceprimeminister2,inOfficeVicePrimeMinister
viceprimeminister3,inOfficeVicePrimeMinister
viceprimeminister4,inOfficeVicePrimeMinister
viceprimeminister5,inOfficeVicePrimeMinister
viceprimeminister6,inOfficeVicePrimeMinister
viceprimeminister7,inOfficeVicePrimeMinister
viceprimeminister8,inOfficeVicePrimeMinister
